property_id,location_id,property_type,price,location,city,province_name,baths,area,purpose,bedrooms,Area Type,Area Size,Area Category
17091600,3442,Upper Portion,50000,I-8,Islamabad,Islamabad Capital,0,10 Marla,For Rent,0,Marla,10,5-10 Marla
17091626,3286,Flat,75000,F-11,Islamabad,Islamabad Capital,3,14.2 Marla,For Rent,3,Marla,14.2,10-15 Marla
17091630,3443,Lower Portion,60000,I-8,Islamabad,Islamabad Capital,0,10 Marla,For Rent,0,Marla,10,5-10 Marla
17091642,3147,Lower Portion,24000,CBR Town,Islamabad,Islamabad Capital,0,8 Marla,For Rent,0,Marla,8,5-10 Marla
17091739,3337,House,50000,G-13,Islamabad,Islamabad Capital,0,4.4 Marla,For Rent,4,Marla,4.4,0-5 Marla
17091740,3346,Lower Portion,27000,G-14,Islamabad,Islamabad Capital,0,4.4 Marla,For Rent,2,Marla,4.4,0-5 Marla
17091741,3338,House,80000,G-13,Islamabad,Islamabad Capital,0,8 Marla,For Rent,6,Marla,8,5-10 Marla
17091742,3338,Lower Portion,37000,G-13,Islamabad,Islamabad Capital,0,8 Marla,For Rent,3,Marla,8,5-10 Marla
17091743,3338,Upper Portion,35000,G-13,Islamabad,Islamabad Capital,0,8 Marla,For Rent,3,Marla,8,5-10 Marla
17091744,3339,Lower Portion,55000,G-13,Islamabad,Islamabad Capital,0,14.2 Marla,For Rent,3,Marla,14.2,10-15 Marla
17091745,3339,Upper Portion,55000,G-13,Islamabad,Islamabad Capital,0,14.2 Marla,For Rent,3,Marla,14.2,10-15 Marla
17091746,3337,Upper Portion,45000,G-13,Islamabad,Islamabad Capital,0,10.9 Marla,For Rent,3,Marla,10.9,10-15 Marla
17091747,3337,Lower Portion,27000,G-13,Islamabad,Islamabad Capital,0,4.4 Marla,For Rent,2,Marla,4.4,0-5 Marla
17091748,3338,Lower Portion,30000,G-13,Islamabad,Islamabad Capital,0,10.9 Marla,For Rent,2,Marla,10.9,10-15 Marla
17091750,165,Upper Portion,120000,F-7,Islamabad,Islamabad Capital,3,1.1 Kanal,For Rent,3,Kanal,1.1,1-5 Kanal
17091827,3443,Lower Portion,60000,I-8,Islamabad,Islamabad Capital,0,10 Marla,For Rent,0,Marla,10,5-10 Marla
17091912,162,House,220000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091913,162,House,221000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091914,162,House,222000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091915,162,House,223000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091916,162,House,224000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
